frame,timestamp_s,inference_ms,fps,n_detections,labels
1,0.471,437.79,2.28,0,
2,0.729,95.29,3.75,0,
3,0.85,82.93,4.87,0,
4,0.983,82.56,5.73,0,
5,1.118,84.04,6.39,0,
6,1.251,84.37,6.92,0,
7,1.383,82.25,7.37,0,
8,1.517,82.97,7.75,0,
9,1.652,84.96,8.06,0,
10,1.784,83.65,8.33,0,
11,1.917,83.25,8.57,0,
12,2.052,84.5,8.77,0,
13,2.183,82.07,8.96,0,
14,2.318,83.76,9.12,0,
15,2.451,83.39,9.27,0,
16,2.585,83.63,9.4,0,
17,2.718,83.01,9.53,0,
18,2.851,82.71,9.64,0,
19,2.985,83.53,9.74,0,
20,3.119,83.46,9.83,0,
21,3.269,100.06,9.84,0,
22,3.419,83.96,9.92,0,
23,3.552,83.08,9.99,0,
24,3.686,83.77,10.06,0,
25,3.821,84.65,10.12,0,
26,3.956,86.45,10.17,0,
27,4.087,84.12,10.23,0,
28,4.22,83.79,10.28,0,
29,4.353,83.7,10.33,0,
30,4.487,84.39,10.37,0,
31,4.621,83.97,11.82,0,
32,4.754,83.49,11.87,0,
33,4.889,85.77,11.86,0,
34,5.022,85.21,11.85,0,
35,5.173,102.92,11.76,0,
36,5.324,86.77,11.75,2,cell phone;cell phone
37,5.456,85.44,11.74,2,cell phone;cell phone
38,5.59,86.11,11.72,2,cell phone;cell phone
39,5.722,84.94,11.72,1,cell phone
40,5.853,82.33,11.73,1,cell phone
41,5.989,84.6,11.72,1,cell phone
42,6.12,82.35,11.73,1,cell phone
43,6.254,83.31,11.72,1,cell phone
44,6.387,82.63,11.73,1,cell phone
45,6.521,82.9,11.73,1,cell phone
46,6.655,83.54,11.73,1,cell phone
47,6.789,83.91,11.73,1,cell phone
48,6.922,83.12,11.73,1,cell phone
49,7.056,84.31,11.72,1,cell phone
50,7.19,84.79,11.72,1,cell phone
51,7.322,83.87,11.79,1,cell phone
52,7.456,83.81,11.79,1,cell phone
53,7.591,85.8,11.78,1,cell phone
54,7.724,85.15,11.77,1,cell phone
55,7.858,85.25,11.77,0,
56,7.99,84.32,11.78,1,cell phone
57,8.122,83.22,11.78,0,
58,8.256,83.75,11.78,0,
59,8.389,83.42,11.79,2,cell phone;cell phone
60,8.523,83.55,11.79,0,
61,8.656,83.57,11.79,1,cell phone
62,8.79,83.57,11.79,1,cell phone
63,8.923,83.07,11.8,0,
64,9.057,83.59,11.81,0,
65,9.191,83.93,11.9,1,cell phone
66,9.324,83.84,11.91,0,
67,9.459,85.28,11.92,0,
68,9.592,84.68,11.92,0,
69,9.725,84.6,11.92,0,
70,9.859,85.49,11.91,0,
71,9.992,85.07,11.91,1,cell phone
72,10.124,83.69,11.9,1,cell phone
73,10.258,84.13,11.9,2,cell phone;cell phone
74,10.391,83.82,11.89,1,cell phone
75,10.525,83.81,11.89,1,cell phone
76,10.66,85.12,11.88,1,cell phone
77,10.792,84.4,11.88,1,cell phone
78,10.927,85.73,11.86,1,cell phone
79,11.059,84.34,11.86,1,cell phone
80,11.207,84.05,11.87,1,cell phone
81,11.341,84.4,11.86,0,
82,11.474,84.76,11.86,1,cell phone
83,11.607,84.29,11.87,1,cell phone
84,11.74,83.82,11.87,1,cell phone
85,11.873,83.81,11.88,1,cell phone
86,12.008,85.87,11.87,1,cell phone
87,12.139,83.41,11.87,1,cell phone
88,12.274,84.89,11.87,1,cell phone
89,12.406,83.48,11.87,1,cell phone
90,12.539,83.84,11.87,1,cell phone
91,12.673,83.85,11.86,1,cell phone
92,12.805,83.47,11.86,0,
93,12.938,83.4,11.86,0,
94,13.073,84.61,11.86,0,
95,13.205,83.72,11.86,0,
96,13.339,84.97,11.85,1,cell phone
97,13.472,84.61,11.86,0,
98,13.605,83.55,11.86,0,
99,13.739,84.25,11.86,0,
100,13.871,83.75,11.87,0,
101,14.005,84.43,11.88,0,
102,14.137,83.15,11.88,0,
103,14.271,84.06,11.88,0,
104,14.404,84.07,11.88,0,
105,14.538,84.57,11.87,0,
