frame,timestamp_s,inference_ms,fps,m1_candidates,m2_rejections,final_detections,rejected,avg_confidence
1,0.517,514.11,1.95,1,0,0,1,0.0
2,0.675,155.92,2.98,1,0,1,0,0.9972
3,0.823,146.7,3.67,1,0,1,0,0.9955
4,0.975,149.81,4.14,1,0,1,0,0.9968
5,1.121,145.31,4.5,1,0,1,0,0.9882
6,1.272,149.19,4.76,1,0,0,1,0.0
7,1.418,144.56,4.98,1,0,1,0,0.9978
8,1.566,146.68,5.15,1,0,0,1,0.0
9,1.723,154.67,5.27,1,0,0,1,0.0
10,1.871,147.1,5.39,1,0,0,1,0.0
11,2.018,145.63,5.5,1,0,1,0,0.9951
12,2.167,147.89,5.59,1,0,0,1,0.0
13,2.315,145.78,5.67,2,0,1,1,0.9976
14,2.464,147.7,5.74,1,0,0,1,0.0
15,2.61,144.51,5.8,1,0,1,0,0.9899
16,2.763,152.21,5.84,1,0,1,0,0.9912
17,2.91,145.23,5.9,1,0,0,1,0.0
18,3.06,148.67,5.94,1,0,0,1,0.0
19,3.206,144.58,5.98,1,0,0,1,0.0
20,3.356,148.78,6.01,2,0,0,2,0.0
21,3.503,145.45,6.05,1,0,0,1,0.0
22,3.662,157.37,6.06,1,0,1,0,0.9963
23,3.82,156.82,6.08,1,0,0,1,0.0
24,3.986,163.97,6.08,1,0,1,0,0.9991
25,4.132,144.7,6.11,2,0,0,2,0.0
26,4.276,142.74,6.14,1,0,0,1,0.0
27,4.424,146.41,6.16,1,0,0,1,0.0
28,4.57,144.89,6.18,1,0,0,1,0.0
29,4.719,147.69,6.2,1,0,0,1,0.0
30,4.869,148.47,6.22,1,0,1,0,0.9986
31,5.019,147.78,6.73,1,0,0,1,0.0
32,5.164,144.48,6.75,1,0,0,1,0.0
33,5.313,146.69,6.75,1,0,0,1,0.0
34,5.461,146.7,6.75,1,0,1,0,0.9954
35,5.609,146.69,6.75,1,0,0,1,0.0
36,5.754,144.36,6.76,1,0,0,1,0.0
37,5.905,149.74,6.75,1,0,0,1,0.0
38,6.053,146.34,6.75,1,0,0,1,0.0
39,6.198,143.33,6.77,1,0,0,1,0.0
40,6.343,143.64,6.77,1,0,0,1,0.0
41,6.488,143.76,6.78,1,0,0,1,0.0
42,6.634,144.09,6.78,1,0,1,0,0.993
43,6.779,143.64,6.79,1,0,1,0,0.9983
44,6.929,148.97,6.78,2,0,0,2,0.0
45,7.075,144.41,6.78,2,0,1,1,0.9947
46,7.221,144.78,6.79,1,0,1,0,0.9982
47,7.367,143.92,6.8,1,0,0,1,0.0
48,7.515,146.36,6.8,1,0,0,1,0.0
49,7.661,144.28,6.8,1,0,1,0,0.9987
50,7.808,145.86,6.81,2,0,0,2,0.0
51,7.96,150.78,6.8,1,0,0,1,0.0
52,8.109,146.89,6.81,1,0,1,0,0.9976
53,8.257,147.1,6.83,1,0,0,1,0.0
54,8.404,145.59,6.86,1,0,1,0,0.9992
55,8.554,148.23,6.85,1,0,0,1,0.0
56,8.702,146.94,6.84,1,0,0,1,0.0
57,8.849,144.88,6.85,1,0,0,1,0.0
58,9.005,155.61,6.83,1,0,0,1,0.0
59,9.151,144.28,6.84,1,0,1,0,0.9982
60,9.297,144.21,6.84,1,0,0,1,0.0
61,9.443,144.55,6.85,1,0,1,0,0.999
62,9.59,146.15,6.85,1,0,1,0,0.9988
63,9.737,145.01,6.85,1,0,1,0,0.9988
64,9.883,145.38,6.85,1,0,1,0,0.9989
65,10.034,149.03,6.85,1,0,0,1,0.0
66,10.18,144.73,6.85,1,0,0,1,0.0
67,10.326,144.42,6.85,1,0,1,0,0.999
68,10.472,145.27,6.86,1,0,1,0,0.9969
69,10.619,145.03,6.85,1,0,1,0,0.9948
70,10.765,144.71,6.85,1,0,0,1,0.0
71,10.914,147.79,6.84,1,0,0,1,0.0
72,11.065,149.86,6.84,1,0,0,1,0.0
73,11.21,144.06,6.84,1,0,0,1,0.0
74,11.36,147.98,6.84,1,0,0,1,0.0
75,11.508,146.74,6.83,1,0,0,1,0.0
76,11.655,145.58,6.83,1,0,1,0,0.9991
77,11.801,144.73,6.83,1,0,0,1,0.0
78,11.948,145.83,6.83,1,0,1,0,0.9992
79,12.1,149.94,6.82,1,0,1,0,0.9991
80,12.246,145.22,6.82,1,0,1,0,0.9972
81,12.394,145.73,6.83,1,0,1,0,0.9994
82,12.541,145.81,6.83,1,0,1,0,0.9969
83,12.687,145.08,6.84,1,0,1,0,0.9986
84,12.833,144.7,6.84,1,0,0,1,0.0
85,12.985,149.83,6.84,1,0,0,1,0.0
86,13.14,153.58,6.82,1,0,1,0,0.9991
87,13.286,144.92,6.82,1,0,1,0,0.9986
88,13.435,147.62,6.84,1,0,1,0,0.9991
89,13.586,148.59,6.83,1,0,0,1,0.0
90,13.734,147.23,6.83,1,0,1,0,0.999
91,13.883,147.55,6.82,1,0,0,1,0.0
92,14.032,147.63,6.82,1,0,1,0,0.9974
93,14.189,153.98,6.8,1,0,0,1,0.0
94,14.336,145.51,6.8,1,0,1,0,0.9989
95,14.482,144.81,6.81,1,0,1,0,0.9984
96,14.63,146.46,6.81,1,0,1,0,0.9972
97,14.778,146.61,6.81,1,0,1,0,0.9991
98,14.926,146.1,6.8,1,0,0,1,0.0
99,15.076,148.39,6.8,1,0,1,0,0.9976
100,15.235,157.96,6.78,1,0,1,0,0.9976
101,15.38,143.32,6.79,1,0,1,0,0.9992
102,15.525,143.74,6.79,1,0,0,1,0.0
103,15.674,147.07,6.79,1,0,1,0,0.9988
104,15.821,145.72,6.79,1,0,0,1,0.0
105,15.967,144.49,6.8,1,0,0,1,0.0
106,16.116,147.37,6.79,1,0,0,1,0.0
107,16.27,152.27,6.78,1,0,0,1,0.0
108,16.418,146.23,6.78,1,0,1,0,0.9927
109,16.562,143.35,6.79,1,0,0,1,0.0
110,16.709,144.77,6.79,1,0,0,1,0.0
111,16.854,144.13,6.8,1,0,1,0,0.999
112,17.001,145.05,6.8,1,0,0,1,0.0
113,17.147,144.64,6.8,1,0,0,1,0.0
114,17.305,157.35,6.78,1,0,1,0,0.9992
115,17.453,145.94,6.78,1,0,1,0,0.9988
116,17.6,145.99,6.8,1,0,1,0,0.9991
117,17.747,146.04,6.79,1,0,0,1,0.0
118,17.896,147.28,6.79,1,0,0,1,0.0
119,18.047,149.52,6.79,1,0,1,0,0.9987
120,18.197,148.62,6.79,1,0,0,1,0.0
121,18.361,161.63,6.77,1,0,0,1,0.0
122,18.51,148.32,6.77,1,0,0,1,0.0
123,18.665,153.25,6.77,1,0,0,1,0.0
124,18.815,148.68,6.76,1,0,0,1,0.0
125,18.964,147.05,6.76,1,0,1,0,0.9987
126,19.115,149.36,6.76,1,0,0,1,0.0
127,19.27,153.84,6.75,1,0,1,0,0.9992
128,19.425,153.28,6.73,1,0,1,0,0.9993
129,19.575,148.64,6.73,1,0,0,1,0.0
130,19.725,148.37,6.75,1,0,0,1,0.0
131,19.868,141.77,6.75,1,0,0,1,0.0
132,20.013,143.48,6.75,1,0,0,1,0.0
133,20.16,145.41,6.75,1,0,0,1,0.0
134,20.307,145.74,6.75,4,0,0,4,0.0
135,20.459,150.47,6.74,1,0,0,1,0.0
136,20.604,144.21,6.75,1,0,0,1,0.0
137,20.752,146.66,6.76,1,0,0,1,0.0
138,20.898,144.26,6.76,1,0,0,1,0.0
139,21.046,146.53,6.76,1,0,0,1,0.0
140,21.192,144.69,6.76,1,0,0,1,0.0
141,21.339,145.5,6.75,1,0,1,0,0.9926
142,21.493,152.76,6.74,1,0,1,0,0.9991
143,21.641,145.92,6.74,1,0,1,0,0.999
144,21.787,144.19,6.76,1,0,1,0,0.9991
145,21.934,144.77,6.76,1,0,1,0,0.9991
146,22.079,144.03,6.77,1,0,1,0,0.9992
147,22.225,144.19,6.77,1,0,0,1,0.0
148,22.37,144.4,6.77,1,0,0,1,0.0
149,22.523,150.76,6.77,1,0,0,1,0.0
150,22.668,143.51,6.78,1,0,0,1,0.0
151,22.813,144.19,6.81,1,0,0,1,0.0
152,22.961,146.81,6.81,1,0,1,0,0.9989
153,23.107,143.58,6.82,1,0,0,1,0.0
154,23.251,143.36,6.83,2,0,0,2,0.0
155,23.397,144.23,6.84,1,0,0,1,0.0
156,23.553,154.5,6.83,1,0,1,0,0.999
157,23.702,147.83,6.84,1,0,1,0,0.9992
158,23.851,147.46,6.85,1,0,0,1,0.0
159,23.998,145.43,6.85,1,0,0,1,0.0
160,24.145,144.97,6.86,1,0,1,0,0.9944
161,24.291,145.01,6.85,1,0,1,0,0.9919
162,24.44,147.04,6.85,1,0,1,0,0.9936
163,24.599,157.42,6.83,1,0,0,1,0.0
164,24.744,144.01,6.83,1,0,0,1,0.0
165,24.894,148.09,6.83,1,0,1,0,0.999
166,25.04,144.95,6.83,1,0,0,1,0.0
167,25.187,145.52,6.83,1,0,1,0,0.9988
168,25.334,145.08,6.83,1,0,0,1,0.0
169,25.478,143.06,6.84,1,0,0,1,0.0
170,25.626,146.81,6.83,1,0,1,0,0.999
171,25.772,143.68,6.84,1,0,0,1,0.0
172,25.917,144.18,6.85,1,0,1,0,0.9986
173,26.065,146.12,6.85,1,0,1,0,0.9979
174,26.212,145.89,6.85,1,0,1,0,0.9961
175,26.36,146.07,6.85,1,0,1,0,0.999
176,26.505,143.23,6.85,1,0,0,1,0.0
177,26.655,148.96,6.84,1,0,1,0,0.9983
178,26.8,143.72,6.84,1,0,0,1,0.0
179,26.947,145.58,6.85,1,0,0,1,0.0
180,27.092,143.74,6.85,1,0,0,1,0.0
181,27.237,143.87,6.85,1,0,0,1,0.0
182,27.382,143.83,6.85,1,0,1,0,0.9988
183,27.527,143.41,6.85,1,0,1,0,0.9988
184,27.676,147.51,6.85,1,0,0,1,0.0
185,27.821,143.62,6.85,1,0,0,1,0.0
186,27.967,144.68,6.86,1,0,1,0,0.9985
187,28.113,144.2,6.87,1,0,1,0,0.9953
188,28.258,143.96,6.87,1,0,1,0,0.9989
