frame,timestamp_s,inference_ms,fps,n_detections,avg_confidence,avg_depth_m,avg_area_px
1,0.338,240.72,4.15,1,0.8285,0.635,19506.0
2,0.543,37.5,7.19,1,0.8626,0.626,19660.0
3,0.639,33.96,9.61,1,0.8643,0.626,19694.0
4,0.742,36.41,11.47,1,0.8509,0.625,19939.0
5,0.846,39.28,12.89,1,0.8357,0.626,19831.0
6,0.946,39.03,14.05,1,0.8515,0.631,19456.0
7,1.047,39.24,15.02,1,0.826,0.63,19427.0
8,1.146,38.57,15.85,1,0.8271,0.634,19540.0
9,1.247,39.82,16.53,1,0.8253,0.63,19412.0
10,1.347,39.55,17.12,1,0.8179,0.638,18786.0
11,1.446,38.5,17.67,1,0.8094,0.643,18163.0
12,1.547,38.89,18.14,1,0.8081,0.643,17805.0
13,1.645,37.73,18.59,1,0.8373,0.644,17314.0
14,1.747,38.67,18.97,1,0.8089,0.649,17326.0
15,1.847,39.05,19.31,1,0.8229,0.646,17446.0
16,1.947,39.08,19.61,1,0.8225,0.648,17611.0
17,2.048,39.45,19.87,1,0.8178,0.646,17510.0
18,2.146,37.63,20.15,1,0.8183,0.651,17266.0
19,2.246,37.63,20.41,1,0.8241,0.649,17133.0
20,2.346,38.53,20.63,1,0.819,0.65,17118.0
21,2.447,39.24,20.82,1,0.8168,0.65,17325.0
22,2.549,39.81,20.99,1,0.8006,0.645,17316.0
23,2.648,38.99,21.15,1,0.8099,0.644,17773.0
24,2.745,37.66,21.33,1,0.8214,0.644,18021.0
25,2.847,38.44,21.49,1,0.8158,0.646,18065.0
26,2.948,39.23,21.62,1,0.8301,0.642,18120.0
27,3.048,39.68,21.73,1,0.8321,0.638,18070.0
28,3.148,39.52,21.84,1,0.81,0.643,18540.0
29,3.248,39.72,21.94,1,0.796,0.651,17886.0
30,3.348,39.62,22.04,1,0.7966,0.656,17394.0
31,3.449,39.93,25.85,1,0.779,0.655,17667.0
32,3.549,39.87,25.8,1,0.7933,0.653,17485.0
33,3.649,40.02,25.67,1,0.7972,0.651,16900.0
34,3.749,39.52,25.6,1,0.8095,0.65,17423.0
35,3.85,39.94,25.58,1,0.8005,0.651,17733.0
36,3.948,38.95,25.59,1,0.7762,0.647,17604.0
37,4.048,38.91,25.59,1,0.7893,0.645,17812.0
38,4.15,39.85,25.57,1,0.7865,0.643,17924.0
39,4.247,37.96,25.61,1,0.8031,0.643,17877.0
40,4.347,37.74,25.65,1,0.7963,0.646,17809.0
41,4.446,36.98,25.68,1,0.7873,0.64,17855.0
42,4.547,37.59,25.71,1,0.7948,0.642,17597.0
43,4.648,38.7,25.69,1,0.8062,0.639,17426.0
44,4.75,39.8,25.66,1,0.7919,0.64,17492.0
45,4.848,38.4,25.68,1,0.7915,0.642,17342.0
46,4.95,39.5,25.67,1,0.7845,0.649,17274.0
47,5.05,39.45,25.67,1,0.7616,0.645,17190.0
48,5.15,39.35,25.63,1,0.7852,0.656,16552.0
49,5.249,39.03,25.6,1,0.7688,0.65,16744.0
50,5.35,39.97,25.57,1,0.7915,0.654,15908.0
51,5.45,39.6,25.56,1,0.7672,0.654,16916.0
52,5.549,38.35,25.59,1,0.7336,0.651,17500.0
